Category,Order Date,Sub-Category,Sales
Office Supplies,2/24/2019,Paper,22.776
Office Supplies,2/24/2019,Paper,32.896
Office Supplies,2/27/2019,Art,19.456
Furniture,3/1/2019,Chairs,634.116
Furniture,3/1/2019,Chairs,362.25
Furniture,3/1/2019,Chairs,457.568
Furniture,3/1/2019,Furnishings,63.552
Furniture,3/1/2019,Tables,376.509
Office Supplies,3/1/2019,Fasteners,18.84
Office Supplies,3/1/2019,Paper,17.472
Office Supplies,3/1/2019,Storage,129.552
Office Supplies,3/1/2019,Storage,137.352
Technology,3/1/2019,Phones,5.94
Office Supplies,3/2/2019,Envelopes,11.36
Office Supplies,3/2/2019,Paper,3.424
Office Supplies,3/2/2019,Paper,36.4
Technology,3/2/2019,Accessories,151.2
Furniture,3/3/2019,Bookcases,302.45
Furniture,3/3/2019,Tables,626.352
Office Supplies,3/3/2019,Appliances,176.772
Office Supplies,3/3/2019,Art,19.456
Office Supplies,3/3/2019,Binders,25.32
Office Supplies,3/3/2019,Binders,125.76
Office Supplies,3/3/2019,Labels,15.12
Office Supplies,3/3/2019,Storage,44.672
Technology,3/3/2019,Phones,9.99
Office Supplies,3/4/2019,Art,15.552
Office Supplies,3/4/2019,Storage,354.9
Office Supplies,3/5/2019,Art,59.52
Office Supplies,3/5/2019,Binders,49.632
Office Supplies,3/5/2019,Paper,97.82
Office Supplies,3/5/2019,Supplies,18.62
Technology,3/5/2019,Accessories,479.97
Furniture,3/7/2019,Chairs,436.704
Furniture,3/7/2019,Chairs,48.712
Furniture,3/7/2019,Chairs,481.568
Office Supplies,3/7/2019,Art,20.65
Office Supplies,3/7/2019,Art,17.94
Office Supplies,3/7/2019,Binders,107.648
Office Supplies,3/7/2019,Storage,204.9
Office Supplies,3/7/2019,Storage,242.94
Office Supplies,3/10/2019,Art,83.168
Office Supplies,3/10/2019,Paper,22.38
Office Supplies,3/10/2019,Storage,636.408
Furniture,3/11/2019,Furnishings,8.32
Office Supplies,3/11/2019,Appliances,146.76
Office Supplies,3/11/2019,Art,7.98
Office Supplies,3/11/2019,Fasteners,10.464
Office Supplies,3/11/2019,Paper,14.94
Office Supplies,3/11/2019,Paper,108.92
Technology,3/11/2019,Accessories,32.96
Technology,3/11/2019,Phones,587.97
Furniture,3/13/2019,Chairs,915.14
Furniture,3/13/2019,Furnishings,327.76
Furniture,3/14/2019,Chairs,1139.92
Office Supplies,3/14/2019,Art,3.38
Office Supplies,3/14/2019,Binders,33.088
Office Supplies,3/14/2019,Binders,62.048
Office Supplies,3/14/2019,Paper,91.056
Office Supplies,3/14/2019,Paper,10.56
Office Supplies,3/14/2019,Paper,8.448
Office Supplies,3/14/2019,Storage,80.98
Office Supplies,3/14/2019,Storage,21.36
Technology,3/14/2019,Accessories,82.8
Technology,3/14/2019,Machines,574.91
Furniture,3/15/2019,Furnishings,45.696
Office Supplies,3/15/2019,Binders,7.218
Office Supplies,3/15/2019,Binders,43.188
Office Supplies,3/15/2019,Paper,131.904
Office Supplies,3/15/2019,Storage,142.776
Technology,3/16/2019,Phones,471.92
Furniture,3/17/2019,Tables,1071.576
Furniture,3/17/2019,Tables,1579.746
Furniture,3/17/2019,Tables,613.908
Office Supplies,3/17/2019,Appliances,93.78
Office Supplies,3/17/2019,Appliances,32.67
Office Supplies,3/17/2019,Art,4.448
Office Supplies,3/17/2019,Art,19.68
Office Supplies,3/17/2019,Binders,35.88
Office Supplies,3/17/2019,Binders,30.44
Office Supplies,3/17/2019,Binders,11.43
Office Supplies,3/17/2019,Binders,53.4
Office Supplies,3/17/2019,Paper,47.18
Office Supplies,3/17/2019,Paper,155.04
Office Supplies,3/17/2019,Paper,5.184
Office Supplies,3/17/2019,Paper,15.552
Office Supplies,3/17/2019,Paper,34.86
Office Supplies,3/17/2019,Paper,16
Office Supplies,3/17/2019,Paper,12.96
Office Supplies,3/17/2019,Paper,126.624
Furniture,3/18/2019,Bookcases,1198.33
Furniture,3/18/2019,Furnishings,122.352
Furniture,3/18/2019,Furnishings,30.768
Furniture,3/18/2019,Furnishings,111
Office Supplies,3/18/2019,Art,8.016
Office Supplies,3/18/2019,Fasteners,18.936
Office Supplies,3/18/2019,Paper,21.376
Office Supplies,3/18/2019,Storage,1856.19
Technology,3/18/2019,Machines,1279.968
Technology,3/18/2019,Machines,22638.48
Technology,3/18/2019,Machines,821.3
Furniture,3/19/2019,Furnishings,20.016
Furniture,3/19/2019,Furnishings,4.992
Office Supplies,3/19/2019,Binders,33.57
Office Supplies,3/19/2019,Labels,11.808
Office Supplies,3/19/2019,Storage,26.16
Technology,3/19/2019,Accessories,170.24
Technology,3/19/2019,Phones,323.976
Furniture,3/21/2019,Chairs,218.376
Furniture,3/21/2019,Furnishings,32.952
Office Supplies,3/21/2019,Art,9.32
Office Supplies,3/21/2019,Art,6.048
Office Supplies,3/21/2019,Art,7.408
Office Supplies,3/21/2019,Binders,122.94
Office Supplies,3/21/2019,Labels,14.4
Office Supplies,3/21/2019,Labels,59.2
Office Supplies,3/21/2019,Paper,122.97
Office Supplies,3/21/2019,Storage,16.272
Technology,3/21/2019,Phones,3499.93
Furniture,3/22/2019,Chairs,314.352
Office Supplies,3/22/2019,Art,16.28
Office Supplies,3/22/2019,Binders,51.465
Office Supplies,3/22/2019,Binders,7.644
Office Supplies,3/22/2019,Paper,74.352
Office Supplies,3/23/2019,Labels,9.912
Office Supplies,3/23/2019,Storage,330.4
Technology,3/23/2019,Phones,604.752
Furniture,3/24/2019,Furnishings,40.48
Office Supplies,3/24/2019,Paper,24.9
Furniture,3/25/2019,Chairs,366.786
Office Supplies,3/25/2019,Art,25.44
Office Supplies,3/25/2019,Art,14.88
Office Supplies,3/25/2019,Art,6.56
Technology,3/25/2019,Accessories,45.48
Office Supplies,3/26/2019,Art,3.36
Office Supplies,3/26/2019,Binders,27.936
Office Supplies,3/26/2019,Labels,18.75
Technology,3/26/2019,Accessories,66.3
Technology,3/26/2019,Phones,28.784
Furniture,3/28/2019,Tables,330.588
Furniture,3/28/2019,Tables,1184.72
Office Supplies,3/28/2019,Envelopes,6.12
Technology,3/28/2019,Phones,302.376
Furniture,3/29/2019,Tables,890.841
Furniture,3/30/2019,Bookcases,205.666
Furniture,3/30/2019,Chairs,127.302
Office Supplies,3/30/2019,Art,10.5
Office Supplies,3/30/2019,Art,49.65
Office Supplies,3/30/2019,Envelopes,335.72
Office Supplies,3/30/2019,Labels,44.4
Office Supplies,3/30/2019,Storage,129.3
Office Supplies,3/30/2019,Storage,15.84
Technology,3/30/2019,Phones,251.944
Furniture,3/31/2019,Chairs,1125.488
Office Supplies,3/31/2019,Appliances,52.98
Office Supplies,3/31/2019,Art,4.032
Office Supplies,3/31/2019,Binders,1.869
Office Supplies,3/31/2019,Binders,12.645
Office Supplies,3/31/2019,Binders,8.134
Office Supplies,3/31/2019,Binders,0.852
Office Supplies,3/31/2019,Binders,673.568
Technology,3/31/2019,Accessories,79.984
Office Supplies,4/1/2019,Binders,17.088
Office Supplies,4/1/2019,Binders,6.24
Office Supplies,4/1/2019,Labels,29.6
Office Supplies,4/1/2019,Storage,66.96
Furniture,4/2/2019,Furnishings,177.68
Office Supplies,4/2/2019,Appliances,154.9
Office Supplies,4/2/2019,Paper,33.488
Office Supplies,4/2/2019,Paper,26.72
Office Supplies,4/2/2019,Paper,15.84
Technology,4/2/2019,Phones,1049.93
Office Supplies,4/3/2019,Envelopes,11.16
Technology,4/3/2019,Accessories,159.98
Technology,4/3/2019,Accessories,62.31
Furniture,4/4/2019,Furnishings,5.47
Office Supplies,4/4/2019,Art,79.36
Office Supplies,4/4/2019,Binders,7.184
Office Supplies,4/4/2019,Labels,18.9
Office Supplies,4/4/2019,Paper,12.96
Office Supplies,4/4/2019,Paper,19.44
Office Supplies,4/4/2019,Storage,232.55
Technology,4/4/2019,Accessories,99.98
Office Supplies,4/5/2019,Art,22.96
Office Supplies,4/5/2019,Art,26.7
Office Supplies,4/5/2019,Art,13.89
Office Supplies,4/5/2019,Art,22.96
Office Supplies,4/5/2019,Binders,115.36
Office Supplies,4/5/2019,Binders,40.2
Office Supplies,4/5/2019,Paper,12.96
Office Supplies,4/5/2019,Paper,55.48
Office Supplies,4/5/2019,Storage,689.82
Office Supplies,4/5/2019,Storage,52.096
Office Supplies,4/5/2019,Storage,49.632
Office Supplies,4/5/2019,Supplies,4164.05
Technology,4/5/2019,Phones,28.99
Furniture,4/6/2019,Furnishings,91.96
Furniture,4/6/2019,Furnishings,33.11
Furniture,4/6/2019,Tables,653.55
Furniture,4/6/2019,Tables,154.764
Office Supplies,4/6/2019,Art,70.95
Office Supplies,4/6/2019,Binders,65.568
Office Supplies,4/6/2019,Binders,44.91
Office Supplies,4/6/2019,Paper,55.48
Office Supplies,4/6/2019,Paper,19.44
Office Supplies,4/6/2019,Supplies,10.304
Technology,4/6/2019,Accessories,33.9
Technology,4/6/2019,Accessories,299.97
Technology,4/6/2019,Accessories,116.784
Furniture,4/7/2019,Furnishings,8.96
Office Supplies,4/7/2019,Paper,122.97
Office Supplies,4/7/2019,Paper,58.32
Technology,4/7/2019,Phones,629.95
Technology,4/7/2019,Phones,200.97
Furniture,4/8/2019,Tables,1215.92
Furniture,4/8/2019,Tables,99.592
Furniture,4/8/2019,Tables,172.11
Office Supplies,4/8/2019,Fasteners,2.368
Office Supplies,4/8/2019,Fasteners,49.792
Office Supplies,4/8/2019,Paper,19.008
Technology,4/8/2019,Accessories,399.96
Office Supplies,4/11/2019,Binders,9.584
Office Supplies,4/11/2019,Fasteners,6.912
Office Supplies,4/11/2019,Paper,10.368
Office Supplies,4/11/2019,Storage,87.08
Technology,4/11/2019,Accessories,335.944
Technology,4/11/2019,Accessories,383.976
Technology,4/11/2019,Accessories,217.44
Technology,4/11/2019,Phones,105.584
Technology,4/11/2019,Phones,758.352
Furniture,4/12/2019,Bookcases,308.499
Office Supplies,4/12/2019,Art,39.68
Office Supplies,4/12/2019,Binders,18.088
Office Supplies,4/12/2019,Paper,32.4
Technology,4/12/2019,Phones,438.368
Technology,4/12/2019,Phones,1075.088
Office Supplies,4/13/2019,Art,17.856
Office Supplies,4/13/2019,Binders,509.97
Office Supplies,4/13/2019,Fasteners,30.992
Office Supplies,4/13/2019,Labels,7.83
Technology,4/13/2019,Phones,71.928
Furniture,4/15/2019,Furnishings,187.76
Office Supplies,4/15/2019,Appliances,106.96
Office Supplies,4/16/2019,Art,39.072
Furniture,4/18/2019,Chairs,317.058
Office Supplies,4/18/2019,Art,10.75
Office Supplies,4/18/2019,Art,2.688
Office Supplies,4/18/2019,Art,13.12
Office Supplies,4/18/2019,Envelopes,149.352
Office Supplies,4/18/2019,Fasteners,11.62
Technology,4/18/2019,Accessories,227.976
Technology,4/18/2019,Machines,287.968
Furniture,4/19/2019,Furnishings,76.14
Office Supplies,4/19/2019,Binders,58.05
Office Supplies,4/19/2019,Paper,71.28
Furniture,4/20/2019,Furnishings,59.92
Furniture,4/20/2019,Tables,744.1
Furniture,4/20/2019,Tables,401.59
Office Supplies,4/20/2019,Storage,44.84
Office Supplies,4/21/2019,Binders,16.52
Office Supplies,4/21/2019,Storage,828.84
Office Supplies,4/22/2019,Binders,9.912
Office Supplies,4/22/2019,Envelopes,247.84
Furniture,4/23/2019,Chairs,281.372
Furniture,4/23/2019,Chairs,281.372
Furniture,4/23/2019,Furnishings,22.336
Office Supplies,4/23/2019,Binders,7.488
Office Supplies,4/23/2019,Binders,2.502
Office Supplies,4/23/2019,Paper,48.91
Furniture,4/25/2019,Chairs,1487.04
Furniture,4/25/2019,Furnishings,303.25
Office Supplies,4/25/2019,Appliances,270.72
Office Supplies,4/25/2019,Art,6.24
Office Supplies,4/25/2019,Paper,10.368
Technology,4/25/2019,Phones,302.376
Furniture,4/26/2019,Chairs,230.28
Office Supplies,4/26/2019,Art,21.4
Office Supplies,4/26/2019,Binders,18.288
Office Supplies,4/26/2019,Labels,12.6
Office Supplies,4/28/2019,Art,5.34
Office Supplies,4/28/2019,Binders,20.86
Office Supplies,4/28/2019,Labels,3.15
Office Supplies,4/28/2019,Labels,6.912
Office Supplies,4/28/2019,Storage,497.61
Office Supplies,4/28/2019,Storage,177.568
Office Supplies,4/28/2019,Storage,27.096
Technology,4/28/2019,Accessories,159.98
Technology,4/28/2019,Phones,1679.96
Furniture,4/29/2019,Chairs,561.584
Furniture,4/29/2019,Chairs,51.96
Furniture,4/29/2019,Furnishings,17.46
Office Supplies,4/29/2019,Binders,17.94
Office Supplies,4/29/2019,Storage,99.92
Technology,4/29/2019,Phones,19.98
Office Supplies,4/30/2019,Art,174.95
Office Supplies,4/30/2019,Storage,826
Technology,4/30/2019,Accessories,47.79
Office Supplies,5/2/2019,Appliances,26.136
Technology,5/2/2019,Copiers,479.984
Office Supplies,5/3/2019,Binders,10.896
Office Supplies,5/3/2019,Binders,40.176
Office Supplies,5/3/2019,Labels,21.56
Furniture,5/4/2019,Furnishings,27.46
Furniture,5/4/2019,Furnishings,12.18
Office Supplies,5/4/2019,Appliances,57.68
Office Supplies,5/4/2019,Art,37.84
Office Supplies,5/4/2019,Binders,46.8
Office Supplies,5/4/2019,Fasteners,5.472
Furniture,5/5/2019,Chairs,127.869
Office Supplies,5/5/2019,Art,6.56
Office Supplies,5/5/2019,Binders,11.88
Office Supplies,5/5/2019,Paper,35.44
Office Supplies,5/5/2019,Paper,24.56
Office Supplies,5/5/2019,Paper,9.42
Office Supplies,5/5/2019,Storage,45.248
Office Supplies,5/6/2019,Art,107.94
Office Supplies,5/6/2019,Binders,140.736
Office Supplies,5/6/2019,Labels,5.78
Furniture,5/7/2019,Chairs,872.32
Furniture,5/7/2019,Tables,194.25
Office Supplies,5/7/2019,Art,8.64
Office Supplies,5/7/2019,Binders,16.14
Furniture,5/7/2019,Chairs,872.32
Furniture,5/7/2019,Tables,194.25
Office Supplies,5/7/2019,Art,8.64
Office Supplies,5/7/2019,Binders,16.14
Technology,5/8/2019,Copiers,1799.97
Office Supplies,5/9/2019,Labels,9.45
Office Supplies,5/9/2019,Labels,20.65
Office Supplies,5/9/2019,Paper,45.36
Office Supplies,5/9/2019,Storage,83.25
Technology,5/9/2019,Accessories,167.97
Technology,5/9/2019,Accessories,67.8
Furniture,5/10/2019,Bookcases,349.965
Furniture,5/10/2019,Chairs,256.784
Office Supplies,5/10/2019,Art,22.32
Office Supplies,5/10/2019,Envelopes,158.13
Office Supplies,5/10/2019,Paper,39.96
Office Supplies,5/10/2019,Supplies,41.04
Technology,5/10/2019,Phones,1432
Technology,5/10/2019,Phones,43.6
Furniture,5/11/2019,Chairs,1212.96
Furniture,5/11/2019,Furnishings,66.112
Office Supplies,5/11/2019,Appliances,35.91
Office Supplies,5/11/2019,Binders,104.58
Office Supplies,5/11/2019,Paper,17.472
Technology,5/11/2019,Accessories,46.864
Technology,5/11/2019,Accessories,58.112
Technology,5/11/2019,Phones,100.792
Furniture,5/12/2019,Furnishings,34.79
Furniture,5/12/2019,Tables,700.056
Furniture,5/13/2019,Chairs,279.456
Office Supplies,5/13/2019,Binders,398.352
Office Supplies,5/13/2019,Fasteners,7.104
Office Supplies,5/13/2019,Paper,8
Office Supplies,5/13/2019,Storage,55.5
Technology,5/13/2019,Accessories,149.97
Furniture,5/14/2019,Furnishings,310.88
Furniture,5/16/2019,Chairs,232.88
Technology,5/16/2019,Accessories,56.4
Office Supplies,5/17/2019,Binders,91.68
Furniture,5/18/2019,Furnishings,149.232
Office Supplies,5/18/2019,Paper,15.936
Office Supplies,5/18/2019,Paper,3.984
Technology,5/18/2019,Phones,779.796
Office Supplies,5/19/2019,Binders,57.42
Office Supplies,5/19/2019,Supplies,34.2
Furniture,5/20/2019,Furnishings,139.86
Furniture,5/20/2019,Furnishings,10.332
Office Supplies,5/20/2019,Appliances,33.28
Office Supplies,5/20/2019,Art,38.52
Office Supplies,5/20/2019,Paper,10.368
Office Supplies,5/20/2019,Storage,66.96
Technology,5/20/2019,Accessories,20.784
Furniture,5/20/2019,Chairs,518.27
Furniture,5/20/2019,Furnishings,6.98
Technology,5/20/2019,Machines,343.2
Furniture,5/21/2019,Chairs,107.772
Office Supplies,5/21/2019,Appliances,245.88
Office Supplies,5/21/2019,Art,31.84
Office Supplies,5/21/2019,Binders,18.24
Office Supplies,5/21/2019,Binders,447.86
Office Supplies,5/21/2019,Binders,2715.93
Office Supplies,5/21/2019,Envelopes,56.064
Office Supplies,5/21/2019,Paper,4.832
Office Supplies,5/21/2019,Paper,17.94
Technology,5/21/2019,Phones,617.97
Office Supplies,5/21/2019,Appliances,245.88
Office Supplies,5/21/2019,Binders,447.86
Office Supplies,5/21/2019,Paper,17.94
Technology,5/22/2019,Phones,135.98
Technology,5/22/2019,Phones,44.95
Office Supplies,5/23/2019,Appliances,208.16
Office Supplies,5/23/2019,Art,21.168
Office Supplies,5/23/2019,Binders,17.96
Office Supplies,5/23/2019,Binders,3.282
Office Supplies,5/23/2019,Paper,12.96
Office Supplies,5/23/2019,Supplies,5.04
Technology,5/23/2019,Phones,55.188
Office Supplies,5/24/2019,Paper,116.28
Furniture,5/25/2019,Furnishings,29.32
Office Supplies,5/25/2019,Appliances,75.6
Office Supplies,5/25/2019,Paper,14.62
Furniture,5/26/2019,Bookcases,290.666
Furniture,5/26/2019,Chairs,225.296
Furniture,5/26/2019,Chairs,359.772
Office Supplies,5/26/2019,Art,13.392
Office Supplies,5/26/2019,Paper,48.4
Office Supplies,5/26/2019,Storage,102.624
Technology,5/26/2019,Phones,201.584
Technology,5/26/2019,Phones,83.984
Furniture,5/27/2019,Tables,567.12
Office Supplies,5/27/2019,Binders,17.46
Office Supplies,5/27/2019,Storage,359.32
Technology,5/27/2019,Accessories,99.99
Technology,5/27/2019,Phones,1113.504
Office Supplies,5/28/2019,Binders,136.96
Technology,5/28/2019,Accessories,27.6
Technology,5/28/2019,Phones,57.408
Furniture,5/30/2019,Tables,355.455
Office Supplies,5/30/2019,Appliances,235.95
Office Supplies,5/30/2019,Binders,70.368
Office Supplies,5/30/2019,Binders,25.584
Office Supplies,5/30/2019,Paper,13.62
Office Supplies,5/30/2019,Paper,39.96
Technology,5/30/2019,Copiers,719.976
Technology,5/30/2019,Phones,464
Technology,5/31/2019,Phones,113.73
Technology,5/31/2019,Phones,659.97
Furniture,6/1/2019,Chairs,2001.86
Furniture,6/1/2019,Furnishings,22.2
Office Supplies,6/1/2019,Appliances,1503.25
Office Supplies,6/1/2019,Appliances,65.52
Office Supplies,6/1/2019,Art,289.2
Office Supplies,6/1/2019,Binders,45.48
Office Supplies,6/1/2019,Binders,138.56
Office Supplies,6/1/2019,Paper,25.92
Office Supplies,6/1/2019,Paper,47.88
Office Supplies,6/1/2019,Storage,166.72
Technology,6/1/2019,Phones,881.93
Furniture,6/2/2019,Furnishings,73.32
Office Supplies,6/2/2019,Art,8.56
Office Supplies,6/2/2019,Binders,59.808
Office Supplies,6/2/2019,Storage,356.94
Technology,6/2/2019,Phones,239.97
Furniture,6/3/2019,Furnishings,61.544
Furniture,6/3/2019,Tables,515.88
Office Supplies,6/3/2019,Envelopes,15.28
Office Supplies,6/3/2019,Labels,15.936
Office Supplies,6/3/2019,Storage,132.696
Furniture,6/4/2019,Bookcases,353.568
Furniture,6/4/2019,Furnishings,13.96
Furniture,6/4/2019,Furnishings,56.96
Office Supplies,6/4/2019,Appliances,15.56
Office Supplies,6/4/2019,Paper,16.224
Furniture,6/6/2019,Tables,991.764
Office Supplies,6/6/2019,Art,13.36
Office Supplies,6/6/2019,Binders,1.365
Office Supplies,6/6/2019,Binders,24.588
Office Supplies,6/6/2019,Binders,149.544
Office Supplies,6/6/2019,Envelopes,13.984
Office Supplies,6/6/2019,Labels,100.24
Office Supplies,6/6/2019,Paper,62.016
Office Supplies,6/6/2019,Supplies,17.14
Furniture,6/7/2019,Tables,268.935
Office Supplies,6/7/2019,Binders,12.462
Furniture,6/8/2019,Chairs,170.352
Furniture,6/8/2019,Chairs,585.552
Office Supplies,6/8/2019,Binders,68.48
Office Supplies,6/8/2019,Storage,1676.88
Furniture,6/9/2019,Furnishings,48.86
Furniture,6/9/2019,Furnishings,37.4
Furniture,6/9/2019,Tables,1706.184
Furniture,6/9/2019,Tables,1441.3
Office Supplies,6/9/2019,Appliances,114.9
Office Supplies,6/9/2019,Art,70.368
Office Supplies,6/9/2019,Art,18.06
Office Supplies,6/9/2019,Art,7.28
Office Supplies,6/9/2019,Art,23.1
Office Supplies,6/9/2019,Binders,18.504
Office Supplies,6/9/2019,Paper,79.14
Office Supplies,6/9/2019,Supplies,7.36
Technology,6/9/2019,Accessories,63.984
Technology,6/9/2019,Phones,7.992
Technology,6/9/2019,Phones,911.424
Technology,6/9/2019,Phones,907.152
Office Supplies,6/10/2019,Labels,491.55
Office Supplies,6/13/2019,Art,14.52
Furniture,6/14/2019,Bookcases,212.94
Furniture,6/15/2019,Chairs,797.944
Furniture,6/15/2019,Tables,99.918
Office Supplies,6/15/2019,Binders,8.568
Office Supplies,6/15/2019,Paper,36.544
Furniture,6/16/2019,Chairs,647.84
Office Supplies,6/16/2019,Art,35
Office Supplies,6/16/2019,Binders,39.552
Office Supplies,6/16/2019,Envelopes,41.4
Furniture,6/17/2019,Furnishings,6.24
Office Supplies,6/17/2019,Binders,3266.376
Office Supplies,6/17/2019,Fasteners,17.9
Office Supplies,6/17/2019,Paper,62.016
Technology,6/17/2019,Machines,65.97
Technology,6/18/2019,Phones,139.8
Office Supplies,6/18/2019,Paper,74.352
Furniture,6/20/2019,Bookcases,193.0656
Office Supplies,6/20/2019,Appliances,471.9
Office Supplies,6/20/2019,Art,3.52
Office Supplies,6/20/2019,Binders,3.392
Office Supplies,6/20/2019,Paper,11.648
Office Supplies,6/20/2019,Paper,15.552
Office Supplies,6/20/2019,Storage,509.488
Technology,6/20/2019,Machines,418.8
Technology,6/20/2019,Phones,201.584
Furniture,6/21/2019,Furnishings,3.984
Furniture,6/21/2019,Furnishings,104.01
Office Supplies,6/21/2019,Appliances,59.7
Office Supplies,6/21/2019,Appliances,44.416
Office Supplies,6/21/2019,Art,3.76
Office Supplies,6/21/2019,Art,21.4
Office Supplies,6/21/2019,Binders,9.006
Office Supplies,6/21/2019,Binders,11.088
Office Supplies,6/21/2019,Binders,25.164
